sample,ch0,ch1,ch2,ch3,ch0_v,ch1_v,ch2_v,ch3_v
242,-606135,-618378,-596777,-607291,-0.173416615,-0.176919365,-0.170739269,-0.173747349
243,-606145,-597403,-616797,-607514,-0.173419476,-0.170918369,-0.176467037,-0.173811150
244,-605997,-602443,-612394,-607514,-0.173377132,-0.172360325,-0.175207329,-0.173811150
245,-605944,-623417,-592215,-607429,-0.173361969,-0.178361034,-0.169434071,-0.173786831
246,-606082,-636541,-579198,-607514,-0.173401451,-0.182115841,-0.165709877,-0.173811150
247,-606061,-634706,-581235,-607249,-0.173395443,-0.181590843,-0.166292667,-0.173735332
248,-606188,-584004,-629719,-607291,-0.173431778,-0.167084885,-0.180164051,-0.173747349
249,-606071,-586518,-627799,-607355,-0.173398304,-0.167804146,-0.179614735,-0.173765659
250,-606092,-602220,-612532,-607164,-0.173404312,-0.172296524,-0.175246811,-0.173711014
251,-606039,-623439,-592014,-607461,-0.173389149,-0.178367329,-0.169376564,-0.173795986
252,-606071,-618336,-596947,-607408,-0.173398304,-0.176907349,-0.170787907,-0.173780823
253,-606071,-597615,-616893,-607482,-0.173398304,-0.170979023,-0.176494503,-0.173801994
254,-606262,-584311,-630112,-607376,-0.173452950,-0.167172718,-0.180276489,-0.173771667
255,-606007,-586391,-627831,-607514,-0.173379993,-0.167767811,-0.179623890,-0.173811150
256,-605997,-636891,-579092,-607397,-0.173377132,-0.182215977,-0.165679550,-0.173777676
257,-606050,-634600,-581298,-607599,-0.173392296,-0.181560516,-0.166310692,-0.173835468
258,-605817,-618389,-596947,-607238,-0.173325634,-0.176922512,-0.170787907,-0.173732185
259,-605986,-597382,-617200,-607610,-0.173373985,-0.170912361,-0.176582336,-0.173838615
260,-606071,-602432,-612543,-607217,-0.173398304,-0.172357178,-0.175249958,-0.173726177
261,-606326,-623290,-591865,-607440,-0.173471260,-0.178324699,-0.169333935,-0.173789978
262,-606305,-636658,-579251,-607503,-0.173465252,-0.182149315,-0.165725040,-0.173808002
263,-605954,-634738,-581118,-607397,-0.173364830,-0.181599998,-0.166259193,-0.173777676
264,-606252,-584216,-629985,-607419,-0.173450089,-0.167145538,-0.180240154,-0.173783970
265,-605976,-586179,-627778,-607270,-0.173371124,-0.167707157,-0.179608727,-0.173741341
266,-606092,-602591,-612309,-607482,-0.173404312,-0.172402668,-0.175183010,-0.173801994
267,-605933,-623513,-592099,-607281,-0.173358822,-0.178388500,-0.169400883,-0.173744488
268,-605944,-618208,-596894,-607291,-0.173361969,-0.176870728,-0.170772743,-0.173747349
269,-606007,-597647,-616935,-607440,-0.173379993,-0.170988178,-0.176506519,-0.173789978
270,-605944,-584322,-629932,-607291,-0.173361969,-0.167175865,-0.180224991,-0.173747349
271,-606007,-586486,-628086,-607196,-0.173379993,-0.167794991,-0.179696846,-0.173720169
272,-606018,-636647,-579420,-607408,-0.173383141,-0.182146168,-0.165773392,-0.173780823
273,-606241,-634823,-581256,-607588,-0.173446941,-0.181624317,-0.166298676,-0.173832321
274,-606145,-618208,-597043,-607482,-0.173419476,-0.176870728,-0.170815372,-0.173801994
275,-606050,-597456,-616967,-607779,-0.173392296,-0.170933533,-0.176515675,-0.173886967
276,-605933,-602825,-612352,-607429,-0.173358822,-0.172469616,-0.175195313,-0.173786831
277,-605997,-623417,-592544,-607397,-0.173377132,-0.178361034,-0.169528198,-0.173777676
278,-606061,-636722,-579463,-607716,-0.173395443,-0.182167625,-0.165785694,-0.173868942
279,-606177,-634472,-581489,-607058,-0.173428631,-0.181523895,-0.166365337,-0.173680687
280,-606209,-584364,-629910,-607249,-0.173437786,-0.167187881,-0.180218697,-0.173735332
281,-606358,-586274,-628149,-607546,-0.173480415,-0.167734337,-0.179714870,-0.173820305
282,-606114,-602644,-612543,-607217,-0.173410606,-0.172417831,-0.175249958,-0.173726177
283,-606103,-623407,-592194,-607472,-0.173407459,-0.178358173,-0.169428062,-0.173799133
284,-605944,-618463,-596905,-607556,-0.173361969,-0.176943684,-0.170775890,-0.173823166
285,-606135,-597615,-617179,-607217,-0.173416615,-0.170979023,-0.176576328,-0.173726177
286,-605976,-584364,-629719,-607461,-0.173371124,-0.167187881,-0.180164051,-0.173795986
287,-605997,-586401,-627895,-607450,-0.173377132,-0.167770672,-0.179642200,-0.173792839
288,-606156,-636902,-579484,-607143,-0.173422623,-0.182219124,-0.165791702,-0.173705006
289,-606018,-634674,-581118,-607556,-0.173383141,-0.181581688,-0.166259193,-0.173823166
290,-605891,-618134,-596788,-607461,-0.173346806,-0.176849556,-0.170742416,-0.173795986
291,-606188,-597679,-617126,-607206,-0.173431778,-0.170997334,-0.176561165,-0.173723030
292,-606082,-602623,-612331,-607429,-0.173401451,-0.172411823,-0.175189304,-0.173786831
293,-605912,-623736,-592194,-607663,-0.173352814,-0.178452301,-0.169428062,-0.173853779
294,-606050,-636616,-579484,-607705,-0.173392296,-0.182137299,-0.165791702,-0.173865795
295,-606050,-634663,-581373,-607429,-0.173392296,-0.181578541,-0.166332150,-0.173786831
296,-606167,-584237,-630048,-607121,-0.173425770,-0.167151546,-0.180258179,-0.173698711
297,-606188,-586189,-627767,-607419,-0.173431778,-0.167710018,-0.179605579,-0.173783970
298,-606092,-602400,-612193,-607482,-0.173404312,-0.172348022,-0.175149822,-0.173801994
